python a2c_play.py --checkpoint=/home/shreyas/EECS545/wordle-rl/wordle-solver/deep_rl/lightning_logs/version_21/checkpoints/epoch=0-step=449999.ckpt --mode=evaluate
Loading from checkpoint /home/shreyas/EECS545/wordle-rl/wordle-solver/deep_rl/lightning_logs/version_21/checkpoints/epoch=0-step=449999.ckpt ...
Got env with 1000 words!
Evaluation mode
Lost! SPEND [('CRATE', 0), ('SEEDY', 0), ('SWEEP', 0), ('SKILL', 0), ('SHOWN', 0), ('SLUMP', -10)]
Lost! KEBAB [('CRATE', 0), ('LAPEL', 0), ('SEEDY', 0), ('HELIX', 0), ('OCEAN', 0), ('REHAB', -10)]
Lost! ABACK [('CRATE', 0), ('SLACK', 0), ('BLACK', 0), ('FLACK', 0), ('FLACK', 0), ('FLACK', -10)]
Lost! HYPER [('CRATE', 0), ('SOWER', 0), ('RIVER', 0), ('ELDER', 0), ('UNFED', 0), ('QUEER', -10)]
Lost! ENEMA [('CRATE', 0), ('LAPEL', 0), ('SEEDY', 0), ('AHEAD', 0), ('SHEEN', 0), ('SHEEN', -10)]
Lost! BLURT [('CRATE', 0), ('STRUT', 0), ('ROBOT', 0), ('FLINT', 0), ('TAUNT', 0), ('PLUSH', -10)]
Lost! COAST [('CRATE', 0), ('CHAFF', 0), ('CHANT', 0), ('CHANT', 0), ('CHANT', 0), ('CHANT', -10)]
Lost! HERON [('CRATE', 0), ('SOWER', 0), ('LEERY', 0), ('RETCH', 0), ('FETID', 0), ('RETCH', -10)]
Lost! VODKA [('CRATE', 0), ('SALAD', 0), ('FANNY', 0), ('WIDOW', 0), ('THUMB', 0), ('HUMOR', -10)]
Lost! PROVE [('CRATE', 0), ('ARISE', 0), ('ERODE', 0), ('ERODE', 0), ('ERODE', 0), ('ERODE', -10)]
Lost! EPOCH [('CRATE', 0), ('SEEDY', 0), ('FLICK', 0), ('COUCH', 0), ('MULCH', 0), ('LUNCH', -10)]
Lost! SONIC [('CRATE', 0), ('SLICK', 0), ('CONIC', 0), ('CONIC', 0), ('CONIC', 0), ('CONIC', -10)]
Lost! VITAL [('CRATE', 0), ('STEIN', 0), ('TATTY', 0), ('ALLOW', 0), ('TULIP', 0), ('TULIP', -10)]
Lost! REBUS [('CRATE', 0), ('SOWER', 0), ('LEERY', 0), ('BEECH', 0), ('RENEW', 0), ('THERE', -10)]
Lost! LIGHT [('CRATE', 0), ('STINK', 0), ('MOUNT', 0), ('PILOT', 0), ('VISIT', 0), ('QUIET', -10)]
Lost! PUPAL [('CRATE', 0), ('SALAD', 0), ('OFFAL', 0), ('FINAL', 0), ('ALOFT', 0), ('USUAL', -10)]
Lost! OTHER [('CRATE', 0), ('SWEET', 0), ('BERTH', 0), ('TIGER', 0), ('FLOUT', 0), ('ENTER', -10)]
Lost! MOURN [('CRATE', 0), ('SWIRL', 0), ('ROUND', 0), ('HORNY', 0), ('FORGO', 0), ('MORON', -10)]
Lost! FOCUS [('CRATE', 0), ('SLICK', 0), ('MOUND', 0), ('BOSOM', 0), ('BOSOM', 0), ('BOSOM', -10)]
Lost! SAUTE [('CRATE', 0), ('WALTZ', 0), ('PASTE', 0), ('PASTE', 0), ('PASTE', 0), ('PASTE', -10)]
Lost! NYMPH [('CRATE', 0), ('SWIRL', 0), ('FOUND', 0), ('FUNNY', 0), ('FUNNY', 0), ('FUNNY', -10)]
Lost! COMMA [('CRATE', 0), ('CABIN', 0), ('COULD', 0), ('CACAO', 0), ('CROAK', 0), ('CABIN', -10)]
